"lat","lng","name","url","descr","access","waves","wind","positives","negatives","level","bottom"
"42.6978","3.03944","Canet En Roussillon","/surf-info/canet-roussillon-s1006.html","Les environs de Perpignan recèlent de spots sympas et depuis quelques années, on s'aperçoit du petit potentiel de cette région du Roussillon, la dernière région méditerranéenne à être identifiée. Ce spot ne fonctionne seulement que quelques jours par an car il ne fonctionne que par vent d?est.","A Perpignan, direction Canet en Roussillon puis tout droit jusqu'au port, le spot se trouve au sud du port, au niveau de la digue.","O","E","- Adapté au longboard, - Bonnes vagues quand ca marche","- Rareté, - Du monde quand ca marche","Tous niveaux","Sand"
"43.5469","7.00756","Cannes","/surf-info/cannes-s1007.html","La baie de Cannes peut donner des vagues courtes mais creuses, surtout des gauches, près des jetées. Pour y surfer il faut tout d'abord se faire accepter des locaux, la digue ne propose que deux vagues (à droite et à gauche du point de mise à l'eau) ce qui crée un sacré embouteillage au peak. ","Sortir de l'A8 à Cannes Ouest et prendre la direction du bord de mer en direction de Mandelieu la Napoule, le spot se situe à côté du port de cette dernière et en face du centre spatial de Thalès Alenia Space (ex-Aérospatiale).","ESE","ESE","- Gauche creuse et puissante","- Beaucoup de monde (surfeurs, baigneurs, véliplanchistes), - Digue","Tous niveaux","Sand"
"44.0388","-1.34343","Cap De L'homy, Lit Et Mixe","/surf-info/cap-homy-lit-mixe-s1009.html","Le cap de l?homy est typique du beach break landais seulement les bancs jouent à cache-cache avec les surfeurs. Mais si vous avez un peu de chance, vous pourrez vous caler bien au chaud dans le tube, avec personne au line-up.","Entre Lit et Mixe, direction Cap de l'Homy (D88)","ENE","NO","- De la place ! ","- Courants, - Baïne","Tous niveaux","Sand"
"44.6436","-1.26325","Cap Ferret","/surf-info/cap-ferret-s1010.html","La presqu'île du Cap-Ferret, logée entre le Bassin d'Arcachon et l'Océan, possède une situation géographique aussi singulière qu?extraordinaire : on peut ainsi profiter à la fois des paysages du bassin d'Arcachon et des vagues de la Côte d'Argent. Pour trouver le meilleur spot, un seul conseil : se hisser en haut des dunes et chercher sans relâche le meilleur banc de sable. Plus facile d?accès, on favorisa le spot du Truc Vert lors de la saison estivale, et la plage de l'Horizon en basse saison.","Depuis Lège Cap-Ferret, prendre la D106 vers le sud. L'accès au spot se fait par la route forestière du ""Truc Vert"",une fois arrivé sur place, il ne vous reste plus qu'à escalader la dune !","E","NO","- Creux et rapide, - Fonctionne régulièrement","- Courants très présents , - Baïnes , - Foules l'été et quand le spot marche bien","Tous niveaux","Sand"
"43.1679","5.69322","Cap Saint Louis","/surf-info/cap-saint-louis-s1008.html","Le plus joli pointbreak de droite de toute la Méditerranée française ! Les droites des Lecques s'enroulent autour du cap St-Louis et peuvent déferler sur près de 200m. Non seulement c'est long mais ça peut être creux et assez puissant. Nul doute que ce joyau est hautement attendu par tous les surfers du 13 et du 83.","D559 entre La Ciotat et les Lecques, hameau ""le Liouquet""","NE","SO","- Gros spot de surf","- victime de son succès !, - oursins, - rochers","Expérimenté","Reef"
"43.6531","-1.44536","La Centrale, Capbreton","/surf-info/la-centrale-capbreton-s1194.html","Capbreton affiche un front de mer pittoresque avec ses restaurants de fruits de mer, son Casino, la digue de l'Estacade, de jolies villas et une série de plages entrecoupées de digues qui filtrent la houle et deviennent donc un spot de repli quand c'est insurfable au nord. Autant dire que c'est systématiquement la foule quand c'est le seul spot qui fonctionne. ","A63 sortie Capbreton-Hossegor puis à Capbreton","E","NO","- Spot de repli, - Pour tous les niveaux, - Bonne ambiance à l'eau","- Fréquentation, - Rochers","Tous niveaux","Sand"
"41.9633","8.57486","Capo Di Feno","/surf-info/capo-di-feno-s1012.html","Ajaccio est le berceau du surf en Corse et la route des Sanguinaires vers le Nord dessert quelques plages et reefs plus ou moins exposées aux houles de Mistral. A 15km d'Ajaccio, Capo di Feno aussi appelé Anse de Minaccia est à la fois une plage de plus d'1km exposée O-SO et un reef de droites, en allant vers le Cap par les chemins de terre.","A 15 km à l'ouest d'Ajaccio par la Route des Sanguinaires (D111)","ENE","O","- Pour tous niveaux","- Récif à gauche du spot, - Devient dangereux par grosse houle","Tous niveaux","Sand"
"45.0816","-1.1951","Carcans Plage","/surf-info/carcans-plage-s1013.html","Un spot charmant resté sauvage aux abords d'une ville côtière tranquille. Une bonne ambiance à l'eau, des vagues pour tous et souvent de très bon bancs en place. Moins de monde que la commune voisine de Lacanau.","Depuis Bordeaux (33), suivre rocade et sortir à ""Lacanau"". Suivre la route jusqu'à la hauteur de St Hélène puis bifurquer direction ""Carcans Océan""","E","NO","- Peu de monde, - De très bons tubes, - Spot exposé,  ","- Courants","Tous niveaux","Sand"
"46.0524","-1.41389","Chassiron","/surf-info/chassiron-s1014.html","L'île d'Oléron offre une palette de spots adaptée à toutes les conditions de vents et de marées. Tout à la pointe Nord se trouve le reef de Chassiron qu'on ne peut surfer qu'à marée basse au terme d'une fastidieuse marche sur les crêtes rocheuses des pièges à poissons. On y trouve des gauches assez longues et des droites plus courtes et violentes."," Accès galère jusqu'aux vagues (500m sur le reef, 10 min)","ESE","NO","- Creuse et rapide","- Oursins, - Courants, - Baïne, - Ne pas y surfer seul","Expérimenté","Reef"
"44.0865","-1.3296","Contis Plage","/surf-info/contis-plage-s1015.html","Spot landais bien sympathique. Les Blockhaus au nord et les environs de l'embouchure du courant comptent parmi les spots les plus souvent surfés avec pas mal d'espace pour accueillir du monde. Bien observer les baïnes depuis la dune pour savoir lesquelles abritent les meilleurs bancs de sable. ","Presque 10 kms depuis St-Julien en Born le long de la D41, direction la plage Nord, après la rue principale, prendre le front de mer (600m) central. ","ENE","NO","- Pas bétonné, - Bien pour les débutants","- Baïnes, - Tendance à fermer","Tous niveaux","Sand"
"45.7195","-1.24232","Côte Sauvage, La Palmyre","/surf-info/cote-sauvage-palmyre-s1017.html","Plein ouest, ces bancs de sable sont bien exposés à la houle, et en hiver c'est souvent un chantier insurfable, avec des courants dans tous les sens. A quelques km du phare de la Coubre se trouve la Maison Forestière de la Bouverie d'où part un accès qui donne son nom au spot, site des Championnats de France 2004.","La D25 relie la Tremblade au nord à la Palmyre au sud, soit 21km par la côte mais 10km de route près des plages.","ENE","NO","- Les pics peuvent se caler « comme dans les Landes »","- Baïnes, - Courants forts","Tous niveaux","Sand"
"48.248","-4.54971","Crozon","/surf-info/crozon-s1016.html","C?est sûrement le spot le plus connu de la presqu?île, mais aussi un des plus difficiles d?accès. Sa capacité à capter les houles aussi bien légérement Nord que Sud fait de la Palue un aimant à vagues dans le Finistère. Ce sont des vagues de sable avec des pics qui bougent avec les marées. Assez creux surtout par vent d?Est, avec des tubes à trouver pendant les bons jours. Pour les débutants, l'anse de Goulien est à privilégier: un beachbreak multipic abrité plus au Nord qui offre également de bonnes vagues par grosse houle.","A Morgat, suivre le panneau ""Cap de la Chèvre"" sur la D255 et au lieu-dit Montourgar, il faut prendre à droite au prochain croisement. Il y a un grand parking en haut de la dune.","E","O","- Creux","- Forts courants, - Foule l'été","Intermédiaire/Expérimenté","Sand"
"49.9283","1.07048","Dieppe","/surf-info/dieppe-s1018.html","","","","","","","",""
"48.6404","-2.06749","Dinard","/surf-info/dinard-s1019.html","A 45 min de Dinard, le Cap Fréhel est le spot le plus proche. Ce pic droite-gauche qui fonctionne de temps en temps attire du monde et pour cause. Il offre une vague creuse et rapide, déconseillée aux débutants ! Pour les aventureux, n?allez pas sur le pic principal. Pour les autres, attention à respecter l?étiquette et être prudent quand il y a de la taille.","Facile à trouver","N","NO","Vague creuse et rapide","- Courants/Baïnes- Rochers- Localisme","Expérimenté","Sand"
"48.1115","-4.28729","Douarnenez, Kerlaz","/surf-info/douarnenez-kerlaz-s1020.html","Tout le monde parle de ce pointbreak mais il marche rarement et la foule des grands jours est toujours au rendez-vous. Pendant les grosses houles d'hiver, il arrive que la houle rentre suffisamment en baie de Douarnenez pour s'enrouler autour de la pointe Leydé et donner de longues gauches qui lèchent les cailloux au bord. Mettez un casque, plus pour les cailloux que pour la vague.","Depuis Tréboul, à l'ouest de Douarnenez, prendre la route des Roches Blanches, puis le sentier Côtier sur la droite. Petit parking pas évident à trouver.","OSO","NO","- Vagues rapides et puissantes,  ","- Spot dangereux, - Les rochers, - Difficile à trouver","Expérimenté","Reef"
"43.4076","-1.6434","Erromardie","/surf-info/erromardie-s1021.html","Sur ce spot dangereux en raison du reef, on trouve une gauche un peu molle mais qui marche relativement bien. Une droite méchante et tubulaire surfable uniquement à marée haute. Le spot est moins exposé au swell lors de grosses houles. ","De Saint Jean de Luz, prendre la direction de Guéthary puis suivre les panneaux Plage d'Erromardie. La plage se situe à la sortie de Saint Jean de Luz.","ESE","NO","- Spot de repli, - Capte pas trop mal les petits swells estivaux","- Rochers sur la gauche, - Courant important , - Interdit aux débutants (reef)","Expérimenté","Reef"
"49.7079","0.199331","Etretat","/surf-info/etretat-s1022.html","A Etretat, le spot le plus célèbre de Normandie casse au pied d'une haute falaise blanche de calcaire, d'où le nom de Côte d'Albâtre. Petit parking mais grosse fréquentation dans l'eau vu la notoriété du spot. ","Attention, embouteillages garantis avant d'arriver et ensuite, sur le spot. Parking gratuit, mais un peu loin du centre-ville","ESE","O","- Cadre splendide","- Exposition pas top, - Ne marche pas tout le temps","Tous niveaux","Reef"
"42.7358","9.34335","Farinole","/surf-info/farinole-s1023.html","Ce spot corse est très peu connu, il convient au surf comme au bodyboard.","- Parking à proximité","NE","ONO","- Vague creuse tout à gauche de la plage","- Du monde quand ça rentre","Tous niveaux","Sand"
"47.7547","-3.51437","Plage Du Loch","/surf-info/plage-loch-s1161.html","La très longue plage (1.5km) du Fort-Bloqué peut donner des vagues mais ce n?est pas très ordonné avec beaucoup de kitesurfeurs.  Pas loin on trouve Guidel, l'épicentre du surf lorientais.","Suivre la D185 jusqu'au Courégant puis les Boulevards des plages (D152) jusqu'à Guidel-Plage.","ENE","OSO","- Swells fréquents","- Le monde à l'eau","Tous niveaux","Sand"
"43.4227","-1.61901","Cenitz, Guethary","/surf-info/cenitz-guethary-s1217.html","Guéthary est un village dans la falaise, qui surplombe une poignée de reefbreaks d'excellente qualité. En face de la butte et la Chapelle de Parlementia déferlent de longues droites, souvent appelées à tort Guéthary, qui se surfent de 2m à 5m. C'est le haut-lieu des gunners dès que la houle dépasse 2.5m sachant que les gauches d'Alcyons et Avalanche peuvent atteindre 4-5m juste au sud du chenal. Pour les petites houles, les longboarder se régaleront.","De Saint Jean de Luz ou de Biarritz, suivre la direction de Guéthary. L'accès à la plage avant le pont de la voie ferrée est souvent bondé, alors mieux vaut viser le parking de la Chapelle ou mieux encore la terrasse de Guéthary, d'où l'on checke à merveille l'ensemble des reefs jusqu'à l'outside de Cenitz.","SE","NO","- Adapté au longboard quand il n'y a pas trop de houle, - Sature que lors de très fortes houles ","- Spot d'habitués, - Prévoyez beaucoup de rame pour votre session, - Du monde quand ca marche, - Reef","Expérimenté","Reef"
"43.3766","-1.77091","Hendaye","/surf-info/hendaye-s1027.html","La longue plage d'Hendaye (3.5km) est un jardin pour débutants. Les vagues y sont rarement trop grosses et cette plage très plate ralentit la houle et permet de surfer en toutes occasions sauf si la houle est vraiment faible (moins d'1m et 6-7sec de période). C'est au milieu de la baie vers le Casino que se trouvent les vagues qui déferlent le mieux. Plus c'est gros, plus on surfe sur les côtés. C'est aussi un spot de repli lorsque que les houles sont trop grosses pour les autres spots.","En arrivant par le nord, sortir à St-Jean de Luz sud et prendre la route de la Corniche (beau panoramique) qui mène directement à Hendaye-Plage. On se gare facilement le long du boulevard, parfois loin du Casino s'il y a du monde.","SE","NO","- Bon spot pour apprendre (beaucoup d'écoles de surf), - Parfait pour le stand-up Paddle, - Spot de repli","- Petites conditions , - Ne fonctionne pas lorsque la houle est trop faible","Tous niveaux","Sand"
"43.6629","-1.44313","Hossegor, La Centrale","/surf-info/hossegor-centrale-s1192.html","Le site d'Hossegor est de loin le plus connus des spots de surf de France. Accueuillant une étape des championnat du monde de surf depuis 2001, il est reconnu comme ""le meilleur beachbreak"" avec ses vagues rondes, puissantes, cassant en shorebreak, comme aux Culs-Nuls ou à La Gravière. Lors des grosses et longues houles assez fréquentes en Baie de Biscaye, il est rare de trouver un banc de sable qui ne ferme pas alors les regards convergent vers La Nord, au nord de la Centrale. ","Suivre Hossegor qui est bien indiqué. Une fois passé le pont du Canal du Lac d'Hossegor, il faut se diriger vers la Centrale.","E","NO","- Le meilleur beachbreak d'Europe (du monde ?), - Fonctionne régulièrement , - Des vagues qui creusent","- Certains spots sont puissants donc dangereux, - Grande fréquentation surtout en période estivale","Expérimenté","Sand"
"45.2231","-1.17519","Hourtin","/surf-info/hourtin-s1029.html","Pas très loin du lac d'Hourtin-Carcans, cette station balnéaire du Médoc n'est pas aussi grande que Lacanau-Océan mais elle est souvent moins encombrée au coeur de l'été permettant de se déplacer plus rapidement. Côté ensablement, on se rapproche de la configuration typique girondine, avec des vagues déferlant entre un cordon dunaire érodé et un banc du large, qui dissipe l'énergie de la houle, en faisant fermer les vagues à marée basse ou sur les houles longues. ","De Bordeaux prendre direction Lacanau, puis Carcans. A Carcans direction Hourtin. Suivre ensuite la direction de Hourtin-Plage.","NE","NO","- Marche aussi bien que Lacanau (quand les bancs sont en place),  ","- Courants, - Baïne, - Grande fréquentation en été","Tous niveaux","Sand"
"43.331","5.06944","L'arquet, Sausset","/surf-info/arquet-sausset-s1030.html","Spot très agréable par grosse houle, ce qui est très rare dans cette région.  Deux fois par an le spot dépasse les 2m50?à ne pas rater...","A la plage de la Couronne prendre la direction du phare, puis prendre a gauche, le spot est à côte du parking.","NO","OSO","- Vagues creuses","- Fond rocheux tapissé d'oursins, - Take off raide avec rocher en face","Expérimenté","Reef"
"46.3416","-1.43111","L'embarcadère","/surf-info/embarcadere-s1031.html","Spot de repli par excellence, ces mini-droites longues et creuses ne fonctionnent réellement qu'une vingtaine de fois dans l'année sur les énormes houles (4-5m, 13-14sec) d'Ouest à Sud-Ouest qui s'enfoncent dans la baie, pètent sur des récifs au large et reforment au bord, entre la jetée et les bateaux, ancrés non loin.","A La Tranche sur Mer, chercher les indications ""L'embarcadère"".","NO","ONO","- Spot de repli","- Ne fonctionne que par grosse houle,  ","Tous niveaux","Sand"
"48.0002","-4.56745","Pointe De Lervily, Esquibien","/surf-info/pointe-lervily-esquibien-s1152.html","La droite de l'île aux Vaches, aussi connue sous le nom de la Pointe du Lervily, a longtemps été un spot secret mais la qualité de ce pointbreak de droite, sa capacité à tenir la taille et sa proximité avec le port d'Esquibien en ont fait un spot de référence, non seulement pour les surfeurs d'Audierne mais pour beaucoup de surfeurs bretons. C?est le spot de gros de la bretagne, un niveau confirmé ne suffit pas pour y surfer.","Une fois passé le pont du Goyen, qui s'enfonce profondément dans les terres, allez vers la Grande plage d'Audierne, puis vers le débarcadère de Sainte-Evette, vers la rue de Lervily.","NE","OSO","- Spot de gros, - Puissant","- Attention au reef, - Courants, - kitesurfeurs et windsurfeurs présents également","Expérimenté","Reef"
"47.2788","-2.39661","La Baule Escoublac","/surf-info/la-baule-escoublac-s1033.html","La Govelle est un spot de Loire Atlantique, on y trouve quelques bonnes vagues à shooter et un cadre sympa. Le spot attire bodyboardeurs et surfeurs. ","Direction Batz-sur-mer puis côte sauvage en descendant vers La Baule panneau camping de La Govelle , c'est la petite plage juste à côté.","NE","SO","- La droite marche de temps en temps, - Cadre agréable","- gros reef sur le peek sud","Tous niveaux","Sand / Reef"
"43.3045","6.63289","La Madrague, Saint Cyr Sur Mer","/surf-info/la-madrague-saint-cyr-mer-s1037.html","Ce n'est pas franchement le meilleur spot de Méditerranée.","La plage de la Madrague se situe au bout de l?avenue du Général Leclerc en venant de Sainte-Maxime, juste avant d?arriver à la pointe des Sardinaux.","NNO","SSE","- Cadre sympa","- Quelques reefs","Tous niveaux","Reef"
"48.2028","-4.55725","La Palue","/surf-info/la-palue-s1038.html","La Palue est le spot de référence de la Péninsule de Crozon. Il peut accueillir beaucoup de monde car la plage est grande (2km) et que les vagues se lèvent à tous les stades de marées. C'est un écrin de verdure quasiment vierge de toutes constructions.","A Morgat, suivre le panneau ""Cap de la Chèvre"" sur la D255 et au lieu-dit Montourgar, il faut prendre à droite au prochain croisement. Il y a un grand parking en haut de la dune.","SE","NO","- Un des spots les plus réguliers de Bretagne","- Le spot est réputé, donc il y a du monde à l'eau évidemment","Expérimenté","Sand"
